City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
146,Kachiry,KZ,53.0675,76.1036,41.59,61,50,6.85,scattered clouds,0.0,0.0
147,Karachi,PK,24.9056,67.0822,80.42,78,20,13.8,few clouds,0.0,0.0
148,Eten,PE,-6.9081,-79.8642,71.85,64,0,14.97,clear sky,0.0,0.0
149,Kandiari,PK,26.9156,68.5216,89.85,38,0,13.38,clear sky,0.0,0.0
150,Straumen,NO,63.8709,11.2999,55.51,92,100,1.23,overcast clouds,0.0,0.0
151,Meadow Lake,US,34.8014,-106.5436,76.82,33,3,10.8,clear sky,0.0,0.0
152,Zhigansk,RU,66.7697,123.3711,33.76,99,100,17.83,light rain,0.67,0.0
153,Teknaf,BD,20.8624,92.3058,80.04,86,34,1.95,scattered clouds,0.0,0.0
154,Thompson,CA,55.7435,-97.8558,41.16,100,40,4.61,scattered clouds,0.0,0.0
155,Kinango,KE,-4.1372,39.3153,77.11,90,58,7.2,broken clouds,0.0,0.0
156,Ewa Beach,US,21.3156,-158.0072,78.1,76,75,10.36,light intensity drizzle,0.0,0.0
157,Nioro,GM,13.35,-15.75,84.69,73,92,5.97,overcast clouds,0.0,0.0
158,Balabac,PH,7.9868,117.0645,81.99,83,100,8.16,light rain,0.48,0.0
159,Kruisfontein,ZA,-34.0033,24.7314,58.89,73,6,13.11,clear sky,0.0,0.0
160,Pochutla,MX,15.7432,-96.4661,88.83,56,100,6.15,overcast clouds,0.0,0.0
161,Inirida,CO,3.8653,-67.9239,95.07,45,40,1.39,scattered clouds,0.0,0.0
162,Kaitangata,NZ,-46.2817,169.8464,40.68,93,35,4.12,scattered clouds,0.0,0.0
163,Georgetown,MY,5.4112,100.3354,80.89,90,20,0.0,few clouds,0.0,0.0
164,Kahului,US,20.8947,-156.47,76.84,93,40,11.5,light rain,0.51,0.0
165,Sibolga,ID,1.7427,98.7792,78.33,87,73,1.14,broken clouds,0.0,0.0
166,Sabratah,LY,32.7933,12.4885,73.87,58,85,13.87,overcast clouds,0.0,0.0
167,Janauba,BR,-15.8025,-43.3089,86.32,38,98,9.86,overcast clouds,0.0,0.0
168,Kurilsk,RU,45.2333,147.8833,52.21,69,54,7.58,broken clouds,0.0,0.0
